TimeUS,RATE-R,ATT-Roll,RATE-P,ATT-Pitch,RATE-Y,ATT-Yaw,RCOU-C1,RCOU-C2,RCOU-C3,RCOU-C4,,,,,,,,
160807750,0.1300723,0.44,0.04695477,-1.16,-1.108825,187.54,1000,1000,1000,1000,,,,,,,,
160907599,0.09296006,0.47,0.09520232,-1.14,0.7025538,187.4,1000,1000,1000,1000,,,,,,,,
161007728,0.09085798,0.48,0.1587765,-1.11,-0.3468729,187.5,1000,1000,1000,1000,,,,,,,,
161107703,0.1056131,0.51,0.223679,-1.09,0.1116542,187.37,1000,1000,1000,1000,,,,,,,,
161207605,0.1300647,0.52,0.2260996,-1.06,0.119676,187.46,1000,1000,1000,1000,,,,,,,,
161307619,0.2074887,0.55,0.124328,-1.04,-0.3358347,187.34,1000,1000,1000,1000,,,,,,,,
161407650,0.07445604,0.56,0.2097053,-1.02,0.5773999,187.42,1000,1000,1000,1000,,,,,,,,
161507642,0.1492144,0.59,0.178155,-0.99,-0.5789018,187.32,1000,1000,1000,1000,,,,,,,,
161607644,-0.004542756,0.61,0.2400565,-0.96,0.7075164,187.37,1000,1000,1000,1000,,,,,,,,
161707821,0.1147049,0.63,0.09587421,-0.93,-0.7489774,187.29,1000,1000,1000,1000,,,,,,,,
161807565,0.04153367,0.65,0.1772259,-0.91,0.7649435,187.33,1000,1000,1000,1000,,,,,,,,
161907794,0.08687139,0.68,0.1408291,-0.89,-0.7830658,187.27,1000,1000,1000,1000,,,,,,,,
162007641,0.06182999,0.7,0.1397076,-0.86,0.7349253,187.29,1000,1000,1000,1000,,,,,,,,
162107624,0.18268,0.73,0.1227028,-0.84,-0.6534997,187.25,1000,1000,1000,1000,,,,,,,,
162207616,0.1405249,0.75,0.2529656,-0.81,0.7176898,187.26,1000,1000,1000,1000,,,,,,,,
162307612,0.1022056,0.77,0.1986697,-0.79,-0.6409504,187.23,1000,1000,1000,1000,,,,,,,,
162407625,0.09399325,0.79,0.2267763,-0.77,0.5974224,187.23,1000,1000,1000,1000,,,,,,,,
162507588,0.05324769,0.82,0.1900068,-0.74,-0.5960686,187.21,1000,1000,1000,1000,,,,,,,,
162607654,0.06550319,0.84,0.1991689,-0.72,0.6054009,187.19,1000,1000,1000,1000,,,,,,,,
162707618,0.1711753,0.86,0.1870659,-0.69,-0.4384691,187.19,1000,1000,1000,1000,,,,,,,,
162807863,0.04232105,0.88,0.1697428,-0.67,0.4235887,187.17,1000,1000,1000,1000,,,,,,,,
162907735,0.03896016,0.91,0.2688573,-0.64,-0.3274179,187.17,1000,1000,1000,1000,,,,,,,,
163010116,0.1299851,0.94,0.149657,-0.62,0.3129611,187.15,1000,1000,1000,1000,,,,,,,,
163109798,0.1446315,0.96,0.1602419,-0.6,-0.2787139,187.15,1000,1000,1000,1000,,,,,,,,
163209782,0.1420369,0.99,0.1874253,-0.58,0.2622437,187.12,1000,1000,1000,1000,,,,,,,,
163309789,0.07279947,1.01,0.2011147,-0.56,-0.1562561,187.13,1000,1000,1000,1000,,,,,,,,
163409839,0.09758078,1.03,0.2376283,-0.54,0.1851652,187.1,1000,1000,1000,1000,,,,,,,,
163509808,0.1977646,1.06,0.2553219,-0.52,-0.1311289,187.11,1000,1000,1000,1000,,,,,,,,
163609738,0.05451505,1.08,0.1551218,-0.5,0.04168227,187.08,1000,1000,1000,1000,,,,,,,,
163709905,0.1613909,1.1,0.14122,-0.48,-0.04696838,187.09,1000,1000,1000,1000,,,,,,,,
163809789,0.1911952,1.12,0.1594494,-0.46,0.08465401,187.07,1000,1000,1000,1000,,,,,,,,
163909939,0.1705847,1.14,0.156546,-0.44,0.01018181,187.08,1000,1000,1000,1000,,,,,,,,
164009791,0.1762181,1.16,0.1653415,-0.43,0.0217298,187.06,1000,1000,1000,1000,,,,,,,,
164109796,0.1043998,1.18,0.2665046,-0.42,0.07294277,187.07,1000,1000,1000,1000,,,,,,,,
164209777,0.09006713,1.2,0.1663249,-0.4,0.02424806,187.05,1000,1000,1000,1000,,,,,,,,
164309753,0.09921814,1.22,0.2260157,-0.38,0.07669982,187.06,1000,1000,1000,1000,,,,,,,,
164409757,0.08995634,1.24,0.1322935,-0.36,0.001570763,187.05,1000,1000,1000,1000,,,,,,,,
164509809,0.1325537,1.27,0.189942,-0.35,0.1225633,187.05,1000,1000,1000,1000,,,,,,,,
164609839,0.1269614,1.28,0.2037153,-0.34,-0.1038052,187.04,1000,1000,1000,1000,,,,,,,,
164709783,0.153722,1.3,0.2177759,-0.32,0.07011942,187.05,1000,1000,1000,1000,,,,,,,,
164809933,0.10165,1.31,0.1817584,-0.31,-0.04761319,187.04,1000,1000,1000,1000,,,,,,,,
